Shannon Guesses, Shannon Time, Knuth WC Guesses, Knuth WC Time, Knuth Avg Guesses, Knuth Avg Time
4,2.7611,6,2.7640,5,2.8840
3,2.6925,4,2.6950,4,2.7729
1,2.6281,2,2.6075,3,2.6187
3,2.6522,4,2.6789,4,2.7958
3,2.6443,3,2.6227,3,2.6618
4,2.6520,4,2.6365,4,2.9073
6,2.6957,6,2.7147,8,2.9644
5,2.6839,5,2.6719,5,2.7755
3,2.5924,4,2.6062,3,2.6967
5,2.6451,4,2.6318,4,2.7293
3,2.6322,3,2.5524,6,2.6618
4,2.3902,3,2.4154,5,2.4679
3,2.3636,4,2.4198,4,2.5415
4,2.3472,4,2.3240,5,2.7015
6,2.5298,6,2.4464,8,2.6798
4,2.3621,6,2.3805,4,2.4541
3,2.3029,3,2.2901,3,2.2922
3,2.3138,3,2.2982,2,2.3881
4,2.3635,4,2.3368,5,2.4418
4,2.4008,4,2.3954,5,2.5261
4,2.3137,4,2.3858,5,2.6708
3,2.3157,4,2.3492,6,2.5436
3,2.4562,4,2.3860,4,2.5556
3,2.3490,4,2.3755,4,2.4707
3,2.3731,3,2.3532,3,2.5047
3,2.3757,5,2.4027,3,2.4572
4,2.4291,3,2.3768,5,2.6105
4,2.3412,3,2.3534,3,2.3815
3,2.3691,3,2.3723,4,2.4644
4,2.3549,4,2.3805,5,2.6421
3,2.3375,4,2.3560,3,2.3691
3,2.3396,3,2.3923,5,2.4557
2,2.3323,2,2.3389,2,2.3482
2,2.3424,2,2.3695,3,2.3262
5,2.4444,5,2.4432,5,2.6252
4,2.3496,4,2.3509,4,2.3947
4,2.3957,4,2.4017,4,2.4763
4,2.4006,3,2.3849,3,2.4854
4,2.4054,3,2.3997,3,2.5351
3,2.3983,2,2.3759,3,2.7430
4,2.4790,3,2.3821,3,2.4742
4,2.4968,4,2.4721,5,2.6638
4,2.5383,4,2.5334,4,2.5492
3,2.4913,4,2.4481,3,2.5718
3,2.4356,2,2.4032,2,2.3836
3,2.5192,3,2.4375,3,2.4315
2,2.4242,2,2.4262,2,2.4247
4,2.4676,3,2.4721,4,2.5501
4,2.4409,4,2.4493,5,2.6800
4,2.4573,4,2.4230,3,2.5357
4,2.5026,4,2.4975,4,2.5700
4,2.4764,5,2.4692,4,2.6557
3,2.4850,4,2.5470,5,2.5565
3,2.5416,4,2.4979,4,2.5178
5,2.5015,6,2.5495,6,2.6834
3,2.3944,2,2.3633,3,2.3676
4,2.4243,2,2.3660,3,2.3899
5,2.4632,3,2.3625,3,2.3747
3,2.4131,3,2.4173,3,2.4840
3,2.4129,4,2.4106,4,2.5046
3,2.3710,3,2.3708,3,2.4059
3,2.4123,3,2.4313,3,2.6740
4,2.3982,5,2.4674,6,2.6632
3,2.3748,3,2.3851,3,2.4121
4,2.4325,5,2.4360,4,2.4978
6,2.4828,6,2.4863,6,2.6730
5,2.4720,5,2.4653,6,2.5690
4,2.3933,2,2.3663,2,2.3922
4,2.4610,6,2.5152,5,2.7000
5,2.4465,3,2.4186,5,2.5389
3,2.4317,3,2.3966,4,2.6977
5,2.4858,5,2.4814,4,2.6263
4,2.4757,5,2.4864,4,2.5357
3,2.4025,3,2.3842,4,2.4863
2,2.3697,4,2.4222,3,2.4963
2,2.3803,4,2.4190,3,2.5137
4,2.4497,4,2.4337,4,2.5341
3,2.4293,3,2.3975,4,2.4310
3,2.3975,3,2.4296,3,2.7512
3,2.5206,4,2.4434,4,2.5436
3,2.4131,3,2.4224,4,2.6043
3,2.4357,4,2.4420,4,2.5265
4,2.4373,4,2.4254,3,2.5850
3,2.3867,3,2.3823,4,2.4951
